id,first_name,last_name,name_display,expected_display,namenszusatz,name_particle,category
9952e98c-8edc-4b82-b0a3-e82cec4e3c75,Diana Beate,Hellmann,Diana Beate,Diana Beate Hellmann,,,other
e4184bcb-9ebb-4d99-8e48-4e268e56d4c9,Betty,Mahmoody,Mahtob Mahmoody,Betty Mahmoody,,,other
27d2fd98-7c7e-40be-893d-718edf1b2097,Ric Von,Weizsaecker,Helmut R. Schulze,Ric Von Weizsaecker,,,particle_embedded_in_name_field
7b634765-c2d2-4203-80f8-91509daa3615,Janwillem Van De,Wetering,Janwillem Van de Wetering,Janwillem Van De Wetering,,,particle_embedded_in_name_field
705b9aac-633e-47e1-87fd-3c0e05843967,Elliott,Erwitt,Elliot Erwitt,Elliott Erwitt,,,other
2dda9871-db9b-4b6d-b808-ab8d168f0003,Mazo De La,Roche,Mazo de la Roche,Mazo De La Roche,,,particle_embedded_in_name_field
abaadad9-2d47-4b61-bebb-19c34a2c2470,Simon,Beck,Simon Beckett,Simon Beck,,,other
155dfc38-db05-4fe3-a8d9-927dfa89a68d,Heinrich,Kleist,von Kleist,Heinrich Kleist,von,,namenszusatz_drops_firstname
0d70ae0a-c700-4522-973a-a37da1efb9f1,Volker / Michael,Klüpfel & Kobr,Volker Klüpfel / Michael Kobr,Volker / Michael Klüpfel & Kobr,,,other
3c691e56-7950-4e8d-8ef5-23fe554c4054,Friedrich,Albert,Friedrich A. von Hayek,Friedrich Albert,,,other
23bdbdac-d1c2-4ed3-a3aa-6f280d0e7447,Isabel,Allemann,Isabel Allende,Isabel Allemann,,,other
df1d36e9-422b-4cb7-9b63-e43d93ab0c3d,Ildikó,Kuerthy,von Kuerthy,Ildikó Kuerthy,von,,namenszusatz_drops_firstname
289e3197-1e9b-4f1d-84b4-649f4f7dccad,Robert T.,Kyosaki,Robert T. Kiyosaki,Robert T. Kyosaki,,,other
ee62ff2c-be08-4109-8c54-8236c59856a2,Dr. Med. Klaus,Grygat,Dr. med. Klaus Grygat,Dr. Med. Klaus Grygat,,,other
4065ef8a-16a8-4a00-9fac-22237506c95e,Jane Van Lawick,Goodall,Jane van Lawick Goodall,Jane Van Lawick Goodall,,,other
adca7668-3f2a-4c2d-9de9-e5aa09ac63be,Eric,Lustbader,Eric van Lustbader,Eric Lustbader,van,,namenszusatz_ok_case_diff
c47eb02b-5245-4d0e-876f-a5c2a2e93589,Evelyn B.,Mccune,Evelyn B. McCune,Evelyn B. Mccune,,,other
082bf81c-d2e3-4571-9358-2c686f5eaa40,Carolyn,Mccarthy,Carolyn McCarthy,Carolyn Mccarthy,,,other
fef825a2-caff-4303-b8b9-81e7d2fa8284,Alister,Mcgrath,Alister McGrath,Alister Mcgrath,,,other
86f6039c-51a9-46ae-9bb1-733019767ac3,Robert,Ranke-Graves,Robert von Ranke-Graves,Robert Ranke-Graves,von,,namenszusatz_ok_case_diff
fc986ae4-0063-42fe-a832-ad934277203b,Fritz-Dietlof,Schulenburg,von der Schulenburg,Fritz-Dietlof Schulenburg,,von der,other
29f2c76b-8bbd-4982-ab08-9627154db3e6,Alois Th,Sonnleitner,A. Th. Sonnleitner,Alois Th Sonnleitner,,,other
26328df7-a0b7-46ee-90ef-a9dbf8e56d41,Jan,Zanger,Jan de Zanger,Jan Zanger,de,,namenszusatz_ok_case_diff
